site_id,country,latitude,longitude,As_ugL,Pb_ugL,Cd_ugL,Cr_ugL,Hg_ugL,HPI,HEI,MI,risk_category,water_safe
S0034,USA,35.7001,-94.3885,5.931,1.488,2.076,16.119,0.668,48.49,2.42,0.69,Low,Yes
S0035,USA,35.0073,-90.9197,1.501,4.35,1.931,68.746,0.134,54.75,2.74,1.37,Low,Yes
S0036,USA,37.9682,-97.4817,5.476,6.773,0.814,11.708,0.107,36.75,1.84,0.68,Low,Yes
S0037,USA,37.6723,-94.9622,1.443,6.816,1.433,18.636,0.451,42.55,2.13,0.68,Low,Yes
S0038,USA,43.5694,-97.4249,2.664,3.782,5.339,34.586,0.422,70.76,3.54,1.78,Moderate,Borderline
S0039,USA,38.714,-92.0884,1.976,5.935,1.606,17.547,1.021,53.97,2.7,1.02,Low,Yes
S0040,USA,40.5383,-96.4075,6.924,4.565,2.046,30.15,0.349,55.66,2.78,0.69,Low,Yes
S0041,USA,37.0157,-94.8591,5.614,6.098,1.111,33.622,0.237,49.02,2.45,0.67,Low,Yes
S0042,USA,32.3977,-91.167,1.681,4.122,1.236,21.557,0.626,40.99,2.05,0.63,Low,Yes
S0043,USA,38.9361,-90.8941,5.224,12.805,1.362,18.124,0.309,58.57,2.93,1.28,Low,Yes
S0044,USA,35.5399,-90.9967,4.733,6.697,1.968,12.747,0.688,54.84,2.74,0.69,Low,Yes
S0045,USA,40.368,-99.3236,11.031,1.768,0.55,10.456,0.638,46.21,2.31,1.1,Low,Yes
S0046,USA,34.0428,-93.4879,11.351,2.672,0.46,18.823,0.319,45.02,2.25,1.14,Low,Yes
S0047,USA,36.6942,-94.8736,5.796,1.491,3.665,29.186,0.211,54.9,2.75,1.22,Low,Yes
S0048,USA,36.1748,-101.9058,4.71,3.775,0.366,26.4,0.407,38.11,1.91,0.53,Low,Yes
S0049,USA,36.6162,-97.8666,4.196,2.615,0.336,11.343,0.172,23.84,1.19,0.42,Low,Yes
S0050,USA,42.0614,-92.3551,5.735,1.522,1.356,17.95,0.27,36.13,1.81,0.57,Low,Yes
S0051,USA,39.7785,-89.2718,3.137,4.635,0.483,12.379,0.212,27.96,1.4,0.46,Low,Yes
S0052,USA,37.1456,-97.4929,3.462,1.672,2.045,29.512,0.203,39.77,1.99,0.68,Low,Yes
S0053,USA,37.298,-92.7458,4.43,5.617,0.883,20.228,0.169,37.45,1.87,0.56,Low,Yes
S0054,USA,38.9158,-99.9846,1.926,12.693,5.376,14.671,0.253,76.01,3.8,1.79,Moderate,Borderline
S0055,USA,38.5894,-90.6753,3.829,3.093,1.795,8.729,0.663,42.56,2.13,0.66,Low,Yes
S0056,USA,37.2598,-95.467,4.447,1.839,0.663,9.928,0.499,30.94,1.55,0.5,Low,Yes
S0057,USA,39.6134,-95.9781,3.355,3.635,1.133,27.428,0.239,37.28,1.86,0.55,Low,Yes
S0058,USA,39.4882,-101.6334,6.439,1.701,1.43,9.178,0.472,38.92,1.95,0.64,Low,Yes
S0059,USA,37.5456,-94.2553,1.91,2.491,0.36,27.874,0.305,28.45,1.42,0.56,Low,Yes
S0060,USA,36.1904,-97.9363,5.784,2.376,1.596,25.818,0.251,42.31,2.12,0.58,Low,Yes
S0061,USA,31.6638,-90.5119,3.772,1.92,1.211,5.543,0.659,34.85,1.74,0.66,Low,Yes
S0062,USA,38.443,-94.3283,5.243,4.458,1.063,33.031,0.371,47.12,2.36,0.66,Low,Yes
S0063,USA,37.1672,-91.7174,4.548,1.329,3.8,16.945,0.652,56.91,2.85,1.27,Low,Yes
S0064,USA,40.8104,-97.4554,3.713,3.715,0.617,17.568,0.317,32.34,1.62,0.37,Low,Yes
S0065,USA,33.9484,-93.45,6.766,3.488,2.094,79.998,0.226,70.99,3.55,1.6,Moderate,Borderline
S0066,USA,35.279,-96.6406,1.219,16.204,1.116,18.223,0.436,58.3,2.91,1.62,Low,Yes
S0067,USA,37.8695,-95.7645,6.677,2.624,3.375,26.479,0.116,54.01,2.7,1.12,Low,Yes
S0068,USA,39.165,-98.3872,1.118,5.799,1.475,7.983,0.533,37.52,1.88,0.58,Low,Yes
S0069,USA,35.9171,-91.522,5.009,2.759,0.323,57.257,0.45,49.59,2.48,1.15,Low,Yes
S0070,USA,33.2755,-97.4489,3.278,2.608,1.037,18.084,0.669,39.3,1.96,0.67,Low,Yes
S0071,USA,39.9155,-95.0929,5.799,1.135,1.275,12.737,0.601,39.48,1.97,0.6,Low,Yes
S0072,USA,33.1347,-94.6975,17.314,1.707,0.793,24.543,1.11,75.35,3.77,1.73,Moderate,Borderline
S0073,USA,41.8616,-90.2885,4.99,6.486,0.99,6.409,0.543,42.98,2.15,0.65,Low,Yes
S0074,USA,32.6969,-93.2569,3.336,3.134,0.835,19.282,0.662,39.46,1.97,0.66,Low,Yes
S0075,USA,38.8227,-99.5575,1.309,4.581,1.688,7.254,0.397,33.87,1.69,0.56,Low,Yes
S0076,USA,32.3261,-96.2011,5.915,5.168,1.362,7.747,0.182,37.98,1.9,0.59,Low,Yes
S0077,USA,33.042,-95.6787,4.251,5.393,1.486,30.476,0.394,49.27,2.46,0.61,Low,Yes
S0078,USA,39.4555,-94.5985,1.204,2.784,2.048,19.226,0.607,41.46,2.07,0.68,Low,Yes
S0079,USA,32.7845,-93.4969,15.57,3.039,0.418,21.185,0.291,54.3,2.71,1.56,Low,Yes
S0080,USA,37.8012,-92.3311,16.961,1.128,1.252,28.963,0.31,62.31,3.12,1.7,Moderate,Borderline
S0081,USA,35.4704,-102.4538,4.765,6.905,1.052,27.127,0.166,44.52,2.23,0.69,Low,Yes
S0082,USA,33.9817,-98.1527,10.143,6.926,0.992,11.548,0.572,56.81,2.84,1.01,Low,Yes
S0083,USA,39.953,-95.642,6.668,4.68,2.084,33.282,0.465,59.2,2.96,0.69,Low,Yes
S0084,USA,35.0868,-96.593,2.323,5.678,0.404,31.514,0.697,45.24,2.26,0.7,Low,Yes
S0085,USA,41.2615,-96.7122,5.176,5.895,0.703,22.788,0.155,39.04,1.95,0.59,Low,Yes
S0086,USA,35.1616,-96.1631,6.332,6.173,1.479,7.61,0.324,44.39,2.22,0.63,Low,Yes
S0087,USA,36.9006,-89.6163,1.486,16.81,1.191,22.772,0.309,59.82,2.99,1.68,Low,Yes
S0088,USA,32.0818,-93.6124,6.272,4.951,1.861,30.11,0.508,57.06,2.85,0.63,Low,Yes
S0089,USA,35.0524,-93.5583,6.285,1.175,0.532,27.305,0.591,41.21,2.06,0.63,Low,Yes
S0090,USA,36.3229,-94.9898,2.722,6.887,0.768,21.2,0.164,36.1,1.8,0.69,Low,Yes
S0091,USA,38.6141,-94.8561,3.051,6.592,1.987,7.035,1.466,64.67,3.23,1.47,Moderate,Borderline
S0092,USA,40.5851,-99.5696,1.274,6.841,1.649,50.885,0.294,53.46,2.67,1.02,Low,Yes
S0093,USA,39.1964,-91.7598,3.675,6.983,1.112,28.844,0.232,44.91,2.25,0.7,Low,Yes
S0094,USA,40.3656,-91.0684,2.64,1.906,1.999,24.156,0.265,37.38,1.87,0.67,Low,Yes
S0095,USA,39.6937,-95.6197,2.38,1.187,0.963,19.196,0.211,25.45,1.27,0.38,Low,Yes
S0096,USA,39.1231,-92.8324,6.069,4.757,0.359,23.5,0.389,41.23,2.06,0.61,Low,Yes
S0097,USA,38.1249,-97.2722,3.582,14.656,0.784,14.311,1.314,73.71,3.69,1.47,Moderate,Borderline
S0098,USA,44.4168,-96.4876,2.75,6.161,0.371,8.148,0.692,37.39,1.87,0.69,Low,Yes
S0099,USA,44.2061,-95.0678,5.215,1.059,1.232,53.143,0.338,48.78,2.44,1.06,Low,Yes
S0100,USA,42.3931,-93.0775,5.804,2.005,1.446,5.948,0.131,30.26,1.51,0.58,Low,Yes
S0101,USA,39.0947,-93.8195,5.285,3.037,0.444,21.428,0.371,35.6,1.78,0.53,Low,Yes
S0102,USA,42.2079,-94.4063,11.977,1.957,0.695,15.107,0.574,50.02,2.5,1.2,Low,Yes
S0103,USA,45.895,-95.2899,5.315,6.978,1.471,51.226,0.255,59.98,3.0,1.02,Low,Yes
S0104,USA,38.1977,-93.0584,5.456,3.076,5.081,22.36,0.535,70.58,3.53,1.69,Moderate,Borderline
S0105,USA,32.1011,-96.7183,4.554,2.264,1.437,8.947,0.645,39.69,1.98,0.65,Low,Yes
S0106,USA,37.9714,-95.8745,3.954,6.224,1.227,22.789,0.335,44.35,2.22,0.62,Low,Yes
S0107,USA,39.4219,-98.7373,2.951,1.785,1.117,7.205,0.412,28.04,1.4,0.41,Low,Yes
S0108,USA,36.2222,-91.2989,2.492,5.241,4.767,24.914,0.607,69.35,3.47,1.59,Moderate,Borderline
S0109,USA,40.0909,-94.2836,2.235,14.249,3.293,18.566,0.29,68.15,3.41,1.42,Moderate,Borderline
S0110,USA,39.749,-93.9605,3.728,3.933,3.739,26.14,0.504,60.78,3.04,1.25,Moderate,Borderline
S0111,USA,37.8297,-96.9521,3.663,2.063,1.809,25.497,0.471,43.13,2.16,0.6,Low,Yes
S0112,USA,35.6532,-94.7975,6.586,5.059,1.486,24.537,0.495,52.91,2.65,0.66,Low,Yes
S0113,USA,40.0154,-95.7571,5.694,5.431,1.027,25.028,0.557,50.25,2.51,0.57,Low,Yes
S0114,USA,40.8693,-95.7842,1.721,1.035,0.96,25.864,0.369,29.64,1.48,0.52,Low,Yes
S0115,USA,33.1206,-96.8029,1.439,5.009,1.134,30.9,1.273,58.28,2.91,1.27,Low,Yes
S0116,USA,32.8313,-99.9362,4.481,4.647,1.763,57.831,0.105,55.24,2.76,1.16,Low,Yes
S0117,USA,36.2419,-93.8237,17.475,3.11,1.175,13.546,0.582,66.06,3.3,1.75,Moderate,Borderline
S0118,USA,39.7549,-99.7115,5.297,3.481,0.626,10.443,0.525,36.41,1.82,0.53,Low,Yes
S0119,USA,32.221,-93.6786,6.778,5.836,0.378,33.542,0.592,53.0,2.65,0.68,Low,Yes
S0120,USA,34.894,-96.9887,4.666,6.039,0.936,28.416,0.594,50.9,2.54,0.6,Low,Yes
S0121,USA,34.9795,-94.163,4.743,4.52,1.626,11.502,0.114,36.25,1.81,0.54,Low,Yes
S0122,USA,39.8916,-88.3684,2.392,4.567,2.078,25.854,0.357,45.25,2.26,0.69,Low,Yes
S0123,USA,38.7069,-90.1148,10.685,6.365,0.882,70.762,0.141,71.1,3.56,1.42,Moderate,Borderline
S0124,USA,37.7014,-99.6677,6.28,4.198,0.899,34.824,0.435,49.58,2.48,0.7,Low,Yes
S0125,USA,34.885,-95.1673,4.374,2.052,0.662,7.9,0.554,31.51,1.58,0.55,Low,Yes
S0126,USA,40.2739,-93.1726,6.563,3.396,2.086,21.199,0.413,50.56,2.53,0.7,Low,Yes
S0127,USA,37.5761,-95.9273,1.766,5.692,0.365,12.893,0.153,25.57,1.28,0.57,Low,Yes
S0128,USA,31.4914,-93.476,3.382,4.604,1.955,34.765,0.225,47.41,2.37,0.7,Low,Yes
S0129,USA,37.2455,-95.2967,3.284,6.208,1.722,7.428,0.204,37.52,1.88,0.62,Low,Yes
S0130,USA,37.0845,-95.0274,4.846,1.795,1.961,23.188,0.205,39.73,1.99,0.65,Low,Yes
S0131,USA,33.8047,-95.9157,10.206,1.811,1.289,17.975,0.404,47.9,2.39,1.02,Low,Yes
S0132,USA,37.8499,-97.3798,2.296,4.901,0.41,89.795,0.135,55.75,2.79,1.8,Low,Yes
S0133,USA,35.1598,-95.9074,14.075,6.98,1.407,23.717,0.356,68.1,3.4,1.41,Moderate,Borderline
S0134,USA,36.6145,-92.0319,2.168,3.485,1.621,5.331,1.208,48.41,2.42,1.21,Low,Yes
S0135,USA,35.3613,-93.8246,4.212,1.073,2.057,33.787,0.166,41.12,2.06,0.69,Low,Yes
S0136,USA,40.5897,-95.4756,1.588,1.9,1.627,16.277,0.376,31.85,1.59,0.54,Low,Yes
S0137,USA,34.9928,-91.8803,5.129,2.528,0.369,18.844,0.496,35.23,1.76,0.51,Low,Yes
S0138,USA,40.9052,-90.3155,1.4,1.901,1.222,6.25,1.057,38.39,1.92,1.06,Low,Yes
S0139,USA,34.5925,-91.1036,2.779,5.648,0.633,7.952,0.559,35.43,1.77,0.56,Low,Yes
S0140,USA,38.8214,-91.0665,3.292,1.728,1.694,88.74,0.579,68.41,3.42,1.77,Moderate,Borderline
S0141,USA,37.171,-94.1942,4.495,5.871,0.531,32.843,0.323,43.87,2.19,0.66,Low,Yes
S0142,USA,43.1686,-98.3096,6.658,1.729,1.896,13.577,0.617,47.18,2.36,0.67,Low,Yes
S0143,USA,36.4986,-94.1523,5.53,6.052,1.698,10.323,0.691,52.43,2.62,0.69,Low,Yes
S0144,USA,38.1991,-96.9541,5.907,4.035,1.619,22.71,0.279,45.34,2.27,0.59,Low,Yes
S0145,USA,39.26,-93.8565,4.818,1.96,0.317,26.794,0.16,29.59,1.48,0.54,Low,Yes
S0146,USA,35.2584,-93.2343,4.331,4.696,0.94,80.44,0.121,58.92,2.95,1.61,Low,Yes
S0147,USA,32.6504,-98.3189,1.893,6.26,0.963,26.662,0.456,42.51,2.13,0.63,Low,Yes
S0148,USA,42.0433,-97.2527,1.019,3.133,0.467,19.429,0.139,21.97,1.1,0.39,Low,Yes
S0149,USA,42.5839,-89.3402,4.621,5.83,1.785,63.37,0.571,69.57,3.48,1.27,Moderate,Borderline
S0150,USA,37.2652,-90.5674,3.641,2.969,0.459,22.947,0.699,39.44,1.97,0.7,Low,Yes
S0151,USA,33.9274,-89.4377,4.817,1.71,1.812,22.156,0.211,38.22,1.91,0.6,Low,Yes
S0152,USA,37.4227,-100.3053,2.792,2.556,1.871,10.583,0.375,34.9,1.75,0.62,Low,Yes
S0153,USA,36.9175,-89.6832,3.621,5.593,1.398,27.541,1.046,59.68,2.98,1.05,Low,Yes
S0154,USA,34.0709,-97.6774,2.482,2.497,1.667,69.503,1.725,83.37,4.17,1.73,Moderate,Borderline
S0155,USA,37.3049,-98.3931,3.467,15.31,2.034,66.752,0.256,82.93,4.15,1.53,Moderate,Borderline
S0156,USA,33.6688,-93.2988,4.392,6.832,0.929,9.537,0.251,37.48,1.87,0.68,Low,Yes
S0157,USA,40.0525,-87.0105,1.689,15.663,1.278,18.749,0.199,54.7,2.74,1.57,Low,Yes
S0158,USA,38.3097,-92.2882,3.774,4.906,0.412,29.192,0.131,34.4,1.72,0.58,Low,Yes
S0159,USA,35.0621,-97.3976,1.988,5.541,0.669,31.387,0.243,36.93,1.85,0.63,Low,Yes
S0160,USA,39.6493,-95.2335,4.232,1.633,1.78,28.268,0.222,39.34,1.97,0.59,Low,Yes
S0161,USA,39.7577,-97.0044,4.466,5.787,1.947,9.739,0.576,48.9,2.45,0.65,Low,Yes
S0162,USA,35.9957,-96.2109,2.105,4.926,1.093,7.504,0.582,35.99,1.8,0.58,Low,Yes
S0163,USA,36.7611,-93.6429,6.905,4.808,1.887,72.39,0.416,73.28,3.66,1.45,Moderate,Borderline
S0164,USA,34.5839,-93.2107,6.149,4.245,0.866,29.649,0.315,44.72,2.24,0.61,Low,Yes
S0165,USA,35.5049,-92.0219,2.043,5.956,0.732,15.438,0.549,38.03,1.9,0.6,Low,Yes
S0166,USA,32.4447,-91.2684,6.049,6.875,0.527,14.753,0.142,38.1,1.91,0.69,Low,Yes
S0167,USA,35.7938,-93.4272,6.022,4.857,1.223,62.158,0.492,64.61,3.23,1.24,Moderate,Borderline
S0168,USA,38.0519,-93.5324,5.731,2.562,1.507,8.33,0.376,37.48,1.87,0.57,Low,Yes
S0169,USA,30.482,-92.4577,6.861,15.919,1.953,30.75,0.646,83.8,4.19,1.59,Moderate,Borderline
S0170,USA,39.666,-96.5803,2.689,1.675,1.273,68.751,0.281,50.34,2.52,1.38,Low,Yes
S0171,USA,33.839,-98.2034,17.223,6.114,1.368,59.58,1.466,108.95,5.45,1.72,Critical,No
S0172,USA,34.7986,-94.8918,5.988,1.69,1.937,29.879,0.443,49.08,2.45,0.65,Low,Yes
S0173,USA,31.5699,-97.0638,3.608,4.612,1.098,23.939,0.522,43.78,2.19,0.52,Low,Yes
S0174,USA,34.1035,-94.9095,3.307,4.913,1.381,20.188,0.143,36.58,1.83,0.49,Low,Yes
S0175,USA,35.6812,-101.6233,1.274,2.661,0.896,10.883,0.268,23.56,1.18,0.3,Low,Yes
S0176,USA,36.3852,-94.9794,1.046,1.22,0.91,22.161,0.276,24.98,1.25,0.44,Low,Yes
S0177,USA,34.6625,-95.583,4.702,3.071,1.874,26.068,0.179,42.05,2.1,0.62,Low,Yes
S0178,USA,32.8669,-100.574,3.466,5.284,0.857,33.652,0.101,38.69,1.93,0.67,Low,Yes
S0179,USA,37.4346,-96.8443,5.12,3.303,0.964,17.568,0.143,33.16,1.66,0.51,Low,Yes
S0180,USA,38.5358,-95.5049,5.011,3.172,0.318,32.399,0.624,43.93,2.2,0.65,Low,Yes
S0181,USA,37.1751,-97.2344,13.376,2.77,3.295,21.759,0.538,73.72,3.69,1.34,Moderate,Borderline
S0182,USA,38.4129,-92.4632,3.58,2.652,1.72,28.951,0.615,47.81,2.39,0.61,Low,Yes
S0183,USA,31.5421,-97.0796,4.493,4.606,1.539,10.006,0.186,36.18,1.81,0.51,Low,Yes
S0184,USA,34.1068,-96.2905,1.153,4.821,0.429,14.337,0.463,29.8,1.49,0.48,Low,Yes
S0185,USA,42.6742,-96.3863,1.843,1.165,2.035,65.519,1.605,77.89,3.89,1.6,Moderate,Borderline
S0186,USA,31.5887,-96.065,6.4,6.736,1.899,29.801,0.273,56.31,2.82,0.67,Low,Yes
S0187,USA,32.381,-99.4588,3.042,1.925,1.275,30.009,0.281,36.06,1.8,0.6,Low,Yes
S0188,USA,33.2156,-97.5951,6.799,3.084,0.551,23.787,0.341,39.77,1.99,0.68,Low,Yes
S0189,USA,37.8756,-92.3016,4.416,2.208,0.371,21.291,0.678,37.8,1.89,0.68,Low,Yes
S0190,USA,37.7977,-89.6926,6.22,5.743,1.73,31.313,0.189,51.76,2.59,0.63,Low,Yes
S0191,USA,36.9596,-93.8284,6.181,3.252,0.666,16.596,0.395,37.84,1.89,0.62,Low,Yes
S0192,USA,40.5819,-96.0107,5.587,6.736,0.497,18.174,1.707,69.37,3.47,1.71,Moderate,Borderline
S0193,USA,38.7807,-103.8212,4.76,1.115,1.538,25.776,0.28,37.91,1.9,0.52,Low,Yes
S0194,USA,35.1198,-92.4128,2.264,1.053,1.518,79.515,0.6,60.56,3.03,1.59,Moderate,Borderline
S0195,USA,38.2641,-96.7815,5.614,5.597,1.404,66.302,1.279,83.88,4.19,1.33,Moderate,Borderline
S0196,USA,37.3204,-95.4043,17.641,4.135,0.438,28.835,1.322,84.45,4.22,1.76,Moderate,Borderline
S0197,USA,34.0059,-97.2903,2.686,6.575,1.931,19.293,0.484,48.79,2.44,0.66,Low,Yes
S0198,USA,32.0412,-91.3907,4.887,6.332,1.109,77.305,0.245,65.65,3.28,1.55,Moderate,Borderline
S0199,USA,38.4291,-93.4836,4.315,1.857,0.789,13.528,1.599,55.0,2.75,1.6,Low,Yes
S0200,USA,35.1214,-94.9539,2.657,1.376,0.307,27.227,0.161,24.22,1.21,0.54,Low,Yes
S0201,USA,39.1861,-96.4646,2.88,6.351,1.938,33.922,0.512,55.19,2.76,0.68,Low,Yes
S0202,USA,41.7063,-98.9843,11.336,5.278,2.039,33.523,0.279,65.81,3.29,1.13,Moderate,Borderline
S0203,USA,38.8473,-91.3883,1.289,6.741,1.079,11.266,1.614,60.04,3.0,1.61,Moderate,Borderline
S0204,USA,40.7054,-95.9603,6.102,4.944,1.884,25.334,0.277,50.33,2.52,0.63,Low,Yes
S0205,USA,40.8238,-92.5698,2.894,3.371,0.659,13.622,0.135,25.07,1.25,0.34,Low,Yes
S0206,USA,31.7685,-94.6429,13.033,10.995,1.045,17.129,1.371,89.29,4.46,1.37,Moderate,Borderline
S0207,USA,37.0674,-93.3586,5.065,5.644,1.238,80.806,0.584,73.67,3.68,1.62,Moderate,Borderline
S0208,USA,39.9426,-97.2267,4.108,12.398,1.464,85.942,0.57,88.55,4.43,1.72,Moderate,Borderline
S0209,USA,30.1795,-97.8089,11.826,2.48,1.645,6.735,0.666,55.59,2.78,1.18,Low,Yes
S0210,USA,37.0627,-94.3079,12.925,2.352,0.553,28.44,0.188,49.38,2.47,1.29,Low,Yes
S0211,USA,33.1056,-90.2657,5.045,3.071,0.823,31.704,0.137,37.14,1.86,0.63,Low,Yes
S0212,USA,33.7328,-95.4675,6.748,2.451,3.659,29.209,0.428,63.03,3.15,1.22,Moderate,Borderline
S0213,USA,32.7281,-95.8,1.3,6.887,1.837,33.819,0.671,55.57,2.78,0.69,Low,Yes
S0214,USA,32.2056,-93.6135,3.622,1.438,2.066,28.778,0.666,48.72,2.44,0.69,Low,Yes
S0215,USA,38.2777,-94.9426,5.544,3.861,0.745,24.998,0.439,42.56,2.13,0.55,Low,Yes
S0216,USA,36.0608,-95.0021,1.054,6.557,1.442,14.65,0.537,41.44,2.07,0.66,Low,Yes
S0217,USA,35.6898,-95.1984,3.885,1.711,1.016,80.44,0.323,56.6,2.83,1.61,Low,Yes
S0218,USA,37.7425,-94.5488,6.706,3.143,0.752,15.757,0.244,35.89,1.79,0.67,Low,Yes
S0219,USA,32.4212,-94.9023,11.402,6.201,2.011,18.098,0.41,64.05,3.2,1.14,Moderate,Borderline
S0220,USA,34.3036,-98.9909,6.365,6.355,1.705,19.926,0.455,53.88,2.69,0.64,Low,Yes
S0221,USA,39.6607,-96.2623,10.552,6.645,1.037,30.075,0.516,63.66,3.18,1.06,Moderate,Borderline
S0222,USA,34.1435,-93.732,6.255,2.695,0.368,66.663,1.778,82.58,4.13,1.78,Moderate,Borderline
S0223,USA,34.8055,-98.0696,2.824,1.009,2.04,24.891,0.609,43.4,2.17,0.68,Low,Yes
S0224,USA,33.8131,-98.5949,5.276,2.09,1.923,34.546,0.336,48.09,2.4,0.69,Low,Yes
S0225,USA,35.2047,-94.3143,4.267,2.004,1.351,6.273,0.461,33.28,1.66,0.46,Low,Yes
S0226,USA,39.9112,-92.5899,1.615,4.053,1.979,25.916,0.377,42.44,2.12,0.66,Low,Yes
S0227,USA,40.2624,-92.2275,6.17,5.842,0.922,34.356,0.521,54.33,2.72,0.69,Low,Yes
S0228,USA,38.9008,-94.7361,3.978,1.978,1.622,5.756,0.107,27.17,1.36,0.54,Low,Yes
S0229,USA,36.8191,-93.6356,2.41,5.903,4.212,26.554,0.208,59.49,2.97,1.4,Low,Yes
S0230,USA,30.54,-91.7085,1.79,1.944,0.822,25.181,0.25,28.02,1.4,0.5,Low,Yes
S0231,USA,40.6358,-94.2162,15.392,1.311,0.818,15.589,0.3,51.09,2.55,1.54,Low,Yes
S0232,USA,34.9444,-95.4547,5.703,3.597,3.897,33.333,0.503,67.97,3.4,1.3,Moderate,Borderline
S0233,USA,35.9207,-98.9781,5.506,2.667,1.078,7.025,0.208,30.5,1.53,0.55,Low,Yes
S0234,USA,36.3088,-97.7727,5.427,3.536,1.016,11.16,0.261,34.38,1.72,0.54,Low,Yes
S0235,USA,37.6218,-94.792,10.605,6.709,0.466,23.709,1.772,82.66,4.13,1.77,Moderate,Borderline
S0236,USA,39.4342,-98.4448,5.24,2.877,1.376,33.402,0.193,42.63,2.13,0.67,Low,Yes
S0237,USA,38.6544,-93.9782,2.216,5.207,4.399,12.593,0.675,62.71,3.14,1.47,Moderate,Borderline
S0238,USA,35.8439,-93.7386,5.035,13.469,0.467,32.436,0.255,58.2,2.91,1.35,Low,Yes
S0239,USA,42.2488,-90.8556,4.826,5.284,0.659,59.935,0.229,53.17,2.66,1.2,Low,Yes
S0240,USA,42.115,-95.9024,4.64,1.487,1.809,29.69,0.427,44.73,2.24,0.6,Low,Yes
S0241,USA,41.2511,-92.956,5.428,1.411,1.957,21.15,0.321,41.6,2.08,0.65,Low,Yes
