SampleID,Location,Latitude,Longitude,pH,As,Pb,Cd,Cr,Hg,Fe,Mn,Zn,Cu
S21,Nagpur,21.122,79.0848,7.13,0.021,0.018,0.004,0.031,0.001,0.44,0.11,0.09,0.08
S22,Sangli,16.9161,74.6125,6.62,0.013,0.035,0.004,0.04,0.003,0.23,0.1,0.03,0.04
S23,Solapur,17.6523,75.869,7.41,0.007,0.023,0.005,0.05,0.001,0.39,0.1,0.1,0.07
S24,Nagpur,21.1518,79.0702,7.02,0.014,0.027,0.006,0.052,0.001,0.47,0.04,0.13,0.07
S25,Satara,17.6889,73.9996,6.95,0.013,0.022,0.007,0.04,0.001,0.37,0.11,0.17,0.07
S26,Ahmednagar,19.0703,74.7328,7.19,0.02,0.026,0.005,0.049,0.002,0.34,0.09,0.13,0.08
S27,Aurangabad,19.901,75.3677,7.33,0.016,0.031,0.004,0.039,0.002,0.31,0.12,0.11,0.1
S28,Pune,18.4902,73.8203,7.29,0.021,0.03,0.006,0.036,0.001,0.31,0.08,0.18,0.06
S29,Nashik,19.9727,73.7802,7.1,0.013,0.02,0.005,0.038,0.002,0.26,0.11,0.08,0.03
S30,Solapur,17.6383,75.9,7.08,0.025,0.032,0.005,0.036,0.001,0.3,0.09,0.15,0.04
S31,Kolhapur,16.7206,74.2893,6.97,0.018,0.031,0.004,0.038,0.002,0.31,0.08,0.14,0.07
S32,Aurangabad,19.9197,75.3721,7.54,0.011,0.032,0.005,0.058,0.001,0.23,0.08,0.06,0.05
S33,Nashik,19.9747,73.7943,7.09,0.027,0.033,0.004,0.027,0.002,0.19,0.15,0.19,0.05
S34,Nagpur,21.0944,79.1288,6.97,0.023,0.015,0.004,0.036,0.002,0.26,0.12,0.1,0.06
S35,Kolhapur,16.7086,74.2587,7.18,0.009,0.015,0.008,0.039,0.001,0.42,0.1,0.19,0.06
S36,Mumbai,19.1378,72.9304,6.94,0.022,0.031,0.008,0.026,0.003,0.38,0.05,0.09,0.02
S37,Mumbai,19.0679,72.8992,7.38,0.016,0.037,0.002,0.019,0.002,0.33,0.1,0.06,0.06
S38,Solapur,17.6208,75.9265,7.09,0.01,0.022,0.003,0.035,0.003,0.22,0.12,0.12,0.04
S39,Mumbai,19.0728,72.8466,6.86,0.009,0.04,0.005,0.029,0.002,0.29,0.09,0.16,0.08
S40,Kolhapur,16.6891,74.226,6.93,0.002,0.015,0.008,0.052,0.002,0.35,0.11,0.26,0.08
S41,Kolhapur,16.7012,74.2146,6.6,0.017,0.021,0.002,0.03,0.001,0.43,0.13,0.14,0.09
S42,Ahmednagar,19.0975,74.7238,7.38,0.019,0.019,0.005,0.027,0.001,0.37,0.16,0.08,0.07
S43,Aurangabad,19.8567,75.3287,6.85,0.011,0.026,0.003,0.039,0.002,0.28,0.07,0.12,0.08
S44,Pune,18.5354,73.8274,7.02,0.021,0.014,0.006,0.029,0.002,0.24,0.05,0.07,0.06
S45,Satara,17.6883,73.9912,7.16,0.006,0.026,0.003,0.029,0.002,0.23,0.09,0.18,0.05
S46,Sangli,16.8775,74.5476,7.13,0.025,0.009,0.003,0.042,0.002,0.33,0.08,0.14,0.06
S47,Mumbai,19.111,72.8853,7.08,0.014,0.023,0.004,0.04,0.002,0.32,0.16,0.17,0.05
S48,Solapur,17.6959,75.8942,6.5,0.01,0.013,0.004,0.036,0.003,0.33,0.09,0.17,0.02
S49,Mumbai,19.0831,72.9008,6.63,0.023,0.028,0.004,0.042,0.004,0.31,0.11,0.12,0.04
S50,Sangli,16.8773,74.5558,7.02,0.013,0.029,0.006,0.046,0.002,0.28,0.07,0.12,0.07
S51,Aurangabad,19.8989,75.3156,7.22,0.024,0.029,0.009,0.028,0.001,0.16,0.14,0.17,0.06
S52,Ahmednagar,19.1036,74.7158,7.61,0.017,0.027,0.006,0.041,0.002,0.24,0.11,0.22,0.09
S53,Kolhapur,16.7528,74.228,6.75,0.015,0.026,0.007,0.019,0.003,0.29,0.09,0.1,0.03
S54,Ahmednagar,19.1199,74.7518,6.68,0.008,0.024,0.008,0.033,0.001,0.28,0.09,0.03,0.06
S55,Nagpur,21.1389,79.1091,7.46,0.023,0.024,0.003,0.062,0.002,0.3,0.1,0.15,0.06
S56,Mumbai,19.0588,72.8613,6.99,0.013,0.021,0.005,0.033,0.003,0.09,0.13,0.19,0.02
S57,Pune,18.5101,73.8456,6.65,0.011,0.018,0.009,0.045,0.003,0.36,0.07,0.12,0.07
S58,Nagpur,21.1091,79.1096,6.94,0.014,0.031,0.006,0.032,0.003,0.21,0.12,0.16,0.05
S59,Aurangabad,19.886,75.3058,7.23,0.015,0.022,0.007,0.029,0.001,0.18,0.12,0.09,0.1
S60,Mumbai,19.0135,72.9286,7.05,0.015,0.022,0.006,0.036,0.003,0.31,0.1,0.13,0.06
S61,Nagpur,21.155,79.0369,6.66,0.02,0.027,0.005,0.036,0.002,0.26,0.08,0.15,0.04
S62,Mumbai,19.0882,72.8266,7.26,0.019,0.028,0.007,0.053,0.003,0.15,0.06,0.12,0.06
S63,Solapur,17.6754,75.8846,7.05,0.011,0.022,0.002,0.027,0.001,0.22,0.13,0.1,0.11
S64,Aurangabad,19.891,75.3488,6.79,0.02,0.022,0.005,0.062,0.002,0.39,0.08,0.14,0.1
S65,Satara,17.6617,74.0727,7.18,0.013,0.03,0.007,0.042,0.001,0.24,0.09,0.14,0.07
S66,Kolhapur,16.7103,74.2032,7.1,0.02,0.03,0.007,0.044,0.002,0.29,0.05,0.16,0.06
S67,Nashik,20.0056,73.7515,6.73,0.022,0.026,0.006,0.036,0.002,0.38,0.08,0.14,0.05
S68,Kolhapur,16.692,74.234,7.06,0.013,0.035,0.003,0.034,0.002,0.42,0.11,0.18,0.03
S69,Kolhapur,16.713,74.27,7.02,0.022,0.022,0.008,0.059,0.002,0.26,0.14,0.2,0.05
S70,Nagpur,21.1332,79.0797,6.66,0.01,0.019,0.003,0.036,0.002,0.42,0.07,0.18,0.06
S71,Aurangabad,19.8747,75.3635,6.72,0.018,0.027,0.006,0.039,0.004,0.25,0.08,0.12,0.05
S72,Mumbai,19.0569,72.9134,7.36,0.013,0.02,0.006,0.03,0.003,0.32,0.05,0.2,0.1
S73,Ahmednagar,19.0768,74.738,7.07,0.018,0.031,0.009,0.034,0.001,0.19,0.08,0.14,0.1
S74,Nashik,19.982,73.7965,7.0,0.023,0.044,0.004,0.031,0.003,0.35,0.16,0.16,0.05
S75,Sangli,16.8701,74.6148,7.21,0.019,0.033,0.007,0.05,0.003,0.29,0.1,0.19,0.04
S76,Nagpur,21.1569,79.0764,7.01,0.024,0.027,0.005,0.022,0.003,0.35,0.16,0.13,0.06
S77,Nashik,20.005,73.8371,6.98,0.018,0.03,0.005,0.032,0.002,0.39,0.07,0.15,0.05
S78,Satara,17.7164,73.9726,6.86,0.018,0.037,0.005,0.03,0.004,0.18,0.03,0.16,0.05
S79,Solapur,17.6293,75.9277,7.06,0.013,0.017,0.007,0.043,0.002,0.45,0.07,0.08,0.05
S80,Aurangabad,19.8748,75.3506,6.94,0.018,0.017,0.008,0.035,0.003,0.33,0.11,0.16,0.07
S81,Sangli,16.8717,74.6214,7.05,0.02,0.025,0.008,0.029,0.003,0.3,0.06,0.15,0.05
S82,Nagpur,21.171,79.0686,6.89,0.005,0.023,0.001,0.02,0.003,0.36,0.11,0.1,0.06
S83,Kolhapur,16.7049,74.2085,7.38,0.021,0.024,0.005,0.038,0.0,0.28,0.08,0.1,0.05
S84,Pune,18.5743,73.8759,6.86,0.019,0.036,0.007,0.037,0.001,0.36,0.11,0.18,0.07
S85,Nagpur,21.1773,79.0721,7.33,0.017,0.041,0.004,0.053,0.002,0.25,0.09,0.13,0.07
S86,Pune,18.5361,73.8395,6.99,0.029,0.038,0.006,0.036,0.002,0.35,0.07,0.13,0.03
S87,Kolhapur,16.717,74.2627,6.88,0.025,0.017,0.002,0.038,0.003,0.43,0.09,0.18,0.06
S88,Solapur,17.6547,75.9329,7.16,0.007,0.036,0.008,0.03,0.002,0.34,0.11,0.12,0.05
S89,Aurangabad,19.8754,75.3785,7.14,0.014,0.031,0.001,0.047,0.001,0.27,0.07,0.09,0.08
S90,Mumbai,19.062,72.8881,6.99,0.019,0.027,0.002,0.046,0.002,0.18,0.09,0.2,0.08
S91,Nagpur,21.1353,79.0777,6.92,0.028,0.029,0.006,0.046,0.002,0.28,0.09,0.14,0.06
S92,Ahmednagar,19.117,74.7512,7.18,0.016,0.027,0.001,0.045,0.002,0.38,0.01,0.22,0.06
S93,Kolhapur,16.7382,74.2121,7.15,0.01,0.022,0.009,0.034,0.002,0.37,0.11,0.15,0.07
S94,Nagpur,21.2179,79.0865,7.05,0.022,0.034,0.007,0.042,0.001,0.43,0.07,0.15,0.04
S95,Satara,17.6786,74.0282,7.08,0.019,0.037,0.006,0.034,0.003,0.4,0.06,0.16,0.07
S96,Solapur,17.651,75.9477,6.96,0.017,0.025,0.005,0.025,0.001,0.43,0.07,0.1,0.02
S97,Satara,17.6613,73.9786,7.41,0.022,0.021,0.01,0.046,0.002,0.1,0.17,0.08,0.03
S98,Nashik,20.0282,73.863,7.35,0.019,0.03,0.007,0.044,0.002,0.31,0.1,0.11,0.05
S99,Aurangabad,19.8254,75.3403,6.75,0.009,0.027,0.008,0.045,0.001,0.22,0.13,0.1,0.06
S100,Nashik,20.014,73.7607,7.03,0.008,0.022,0.006,0.02,0.002,0.3,0.12,0.15,0.09
S101,Nagpur,21.1496,79.0753,7.03,0.019,0.026,0.005,0.029,0.001,0.19,0.15,0.09,0.05
S102,Sangli,16.8308,74.6083,6.93,0.023,0.021,0.006,0.028,0.004,0.2,0.11,0.17,0.07
S103,Sangli,16.8468,74.5776,7.01,0.015,0.033,0.009,0.03,0.001,0.29,0.18,0.11,0.09
S104,Aurangabad,19.9265,75.3267,7.14,0.026,0.023,0.005,0.03,0.001,0.25,0.06,0.14,0.04
S105,Ahmednagar,19.1022,74.7029,7.08,0.021,0.012,0.006,0.048,0.001,0.43,0.11,0.11,0.06
S106,Solapur,17.6766,75.9087,7.13,0.01,0.027,0.002,0.035,0.001,0.24,0.14,0.18,0.07
S107,Ahmednagar,19.0624,74.7401,7.3,0.017,0.042,0.006,0.038,0.002,0.31,0.1,0.17,0.08
S108,Solapur,17.6363,75.8665,6.54,0.019,0.018,0.001,0.04,0.004,0.3,0.13,0.14,0.06
S109,Kolhapur,16.7326,74.2346,7.07,0.018,0.021,0.007,0.034,0.001,0.34,0.07,0.14,0.06
S110,Nagpur,21.1784,79.1024,6.99,0.021,0.036,0.006,0.036,0.001,0.21,0.09,0.12,0.06
S111,Nashik,19.9992,73.8057,6.98,0.019,0.026,0.001,0.027,0.002,0.2,0.12,0.2,0.08
S112,Sangli,16.846,74.6262,7.04,0.014,0.022,0.004,0.032,0.002,0.31,0.1,0.16,0.08
S113,Satara,17.709,73.9738,6.5,0.022,0.016,0.005,0.024,0.001,0.34,0.12,0.12,0.01
S114,Mumbai,19.0596,72.8895,6.63,0.017,0.026,0.006,0.037,0.001,0.4,0.1,0.14,0.04
S115,Pune,18.5071,73.8302,6.96,0.026,0.016,0.002,0.051,0.002,0.25,0.13,0.12,0.1
S116,Mumbai,19.0963,72.8631,7.54,0.012,0.031,0.006,0.049,0.003,0.3,0.08,0.16,0.05
S117,Nashik,20.0579,73.7939,6.91,0.017,0.017,0.003,0.048,0.001,0.22,0.12,0.19,0.07
S118,Nashik,20.0274,73.7671,6.64,0.025,0.024,0.004,0.049,0.002,0.34,0.16,0.11,0.08
S119,Solapur,17.6616,75.9145,7.38,0.019,0.03,0.007,0.032,0.001,0.22,0.04,0.22,0.04
S120,Ahmednagar,19.0886,74.7413,7.08,0.021,0.032,0.004,0.034,0.002,0.28,0.15,0.16,0.07
S121,Mumbai,19.0959,72.9129,7.05,0.008,0.029,0.004,0.031,0.002,0.4,0.1,0.15,0.09
S122,Solapur,17.6671,75.9845,7.14,0.005,0.031,0.006,0.049,0.003,0.29,0.06,0.13,0.04
S123,Solapur,17.6425,75.9241,7.42,0.018,0.018,0.006,0.048,0.002,0.29,0.1,0.11,0.07
S124,Ahmednagar,19.0916,74.7622,6.78,0.013,0.031,0.004,0.053,0.002,0.32,0.13,0.08,0.02
S125,Satara,17.6347,74.0562,6.86,0.031,0.022,0.005,0.051,0.004,0.46,0.14,0.18,0.07
S126,Sangli,16.8758,74.565,6.8,0.016,0.025,0.004,0.043,0.003,0.31,0.14,0.09,0.06
S127,Aurangabad,19.8547,75.2873,6.98,0.015,0.037,0.006,0.026,0.003,0.4,0.12,0.13,0.04
S128,Sangli,16.8412,74.6142,7.47,0.025,0.023,0.003,0.037,0.001,0.33,0.1,0.12,0.03
S129,Pune,18.5358,73.8407,6.71,0.002,0.026,0.009,0.053,0.002,0.25,0.11,0.1,0.07
S130,Mumbai,19.099,72.9145,6.97,0.015,0.02,0.003,0.034,0.002,0.37,0.08,0.2,0.05
S131,Sangli,16.8518,74.5591,6.5,0.021,0.031,0.004,0.037,0.002,0.17,0.08,0.17,0.03
S132,Aurangabad,19.885,75.3026,7.12,0.016,0.015,0.007,0.029,0.001,0.32,0.13,0.1,0.06
S133,Kolhapur,16.7179,74.2641,7.04,0.014,0.02,0.005,0.025,0.0,0.33,0.13,0.05,0.04
S134,Mumbai,19.0946,72.9394,7.01,0.012,0.025,0.008,0.03,0.001,0.26,0.07,0.14,0.09
S135,Aurangabad,19.8859,75.3357,6.93,0.007,0.032,0.005,0.034,0.005,0.32,0.08,0.12,0.08
S136,Solapur,17.6633,75.8633,7.23,0.012,0.039,0.007,0.032,0.003,0.31,0.13,0.16,0.04
S137,Nashik,19.9782,73.8207,6.92,0.014,0.019,0.006,0.057,0.001,0.3,0.14,0.14,0.07
S138,Satara,17.6486,74.0311,6.95,0.022,0.034,0.01,0.042,0.002,0.32,0.09,0.15,0.05
S139,Pune,18.5255,73.8962,6.75,0.023,0.035,0.005,0.015,0.002,0.4,0.1,0.1,0.05
S140,Aurangabad,19.9014,75.3597,6.94,0.014,0.023,0.003,0.052,0.002,0.4,0.15,0.18,0.05
S141,Sangli,16.8645,74.5808,6.77,0.018,0.018,0.007,0.031,0.002,0.32,0.09,0.16,0.05
S142,Nashik,20.0236,73.7494,7.03,0.028,0.019,0.004,0.041,0.002,0.33,0.11,0.17,0.08
S143,Sangli,16.8647,74.5743,7.17,0.027,0.025,0.003,0.047,0.002,0.13,0.13,0.12,0.06
S144,Mumbai,19.086,72.8834,7.18,0.013,0.03,0.004,0.043,0.002,0.23,0.13,0.12,0.08
S145,Aurangabad,19.8872,75.3984,6.94,0.014,0.026,0.004,0.044,0.001,0.22,0.07,0.18,0.09
S146,Sangli,16.8493,74.5764,7.02,0.023,0.02,0.005,0.046,0.002,0.32,0.13,0.03,0.07
S147,Ahmednagar,19.0756,74.6947,7.13,0.024,0.025,0.007,0.052,0.003,0.43,0.12,0.14,0.03
S148,Nagpur,21.1384,79.0629,7.54,0.015,0.027,0.006,0.036,0.003,0.25,0.11,0.11,0.03
S149,Nashik,19.9791,73.7887,6.89,0.012,0.016,0.005,0.021,0.003,0.31,0.06,0.13,0.04
S150,Kolhapur,16.7146,74.2835,6.53,0.017,0.025,0.006,0.038,0.001,0.27,0.08,0.18,0.06
S151,Nashik,20.0545,73.788,6.82,0.007,0.013,0.002,0.039,0.002,0.17,0.13,0.12,0.06
S152,Sangli,16.9008,74.6084,6.93,0.011,0.011,0.004,0.034,0.001,0.29,0.1,0.13,0.05
S153,Sangli,16.8575,74.5948,6.73,0.024,0.025,0.005,0.043,0.002,0.38,0.11,0.12,0.07
S154,Pune,18.4861,73.86,6.99,0.015,0.025,0.001,0.031,0.002,0.31,0.07,0.19,0.04
S155,Ahmednagar,19.1243,74.7624,6.84,0.027,0.018,0.007,0.046,0.001,0.41,0.09,0.15,0.07
S156,Kolhapur,16.701,74.2676,7.2,0.006,0.035,0.002,0.046,0.003,0.21,0.09,0.1,0.06
S157,Satara,17.6713,74.0417,7.33,0.024,0.022,0.005,0.019,0.001,0.38,0.15,0.09,0.05
S158,Pune,18.5196,73.8651,6.8,0.019,0.023,0.005,0.041,0.002,0.27,0.1,0.14,0.05
S159,Mumbai,19.0682,72.9257,7.14,0.014,0.031,0.004,0.048,0.002,0.29,0.11,0.08,0.04
S160,Kolhapur,16.6692,74.2476,7.43,0.029,0.03,0.006,0.018,0.002,0.24,0.08,0.13,0.05
S161,Aurangabad,19.8168,75.3657,6.73,0.017,0.041,0.003,0.011,0.002,0.39,0.16,0.09,0.07
S162,Nagpur,21.1318,79.085,7.66,0.007,0.028,0.006,0.047,0.002,0.32,0.09,0.15,0.05
S163,Pune,18.539,73.8456,7.09,0.016,0.034,0.005,0.018,0.003,0.23,0.08,0.12,0.09
S164,Nagpur,21.0817,79.1823,7.26,0.017,0.026,0.006,0.041,0.003,0.34,0.1,0.13,0.06
S165,Ahmednagar,19.0894,74.7836,7.15,0.002,0.031,0.005,0.036,0.002,0.39,0.13,0.11,0.07
S166,Mumbai,19.0469,72.8363,6.84,0.021,0.033,0.006,0.043,0.002,0.25,0.11,0.17,0.08
S167,Mumbai,19.1117,72.8989,7.09,0.022,0.026,0.003,0.034,0.001,0.25,0.1,0.11,0.05
S168,Satara,17.6237,74.0247,7.0,0.011,0.031,0.007,0.02,0.001,0.24,0.07,0.17,0.06
S169,Mumbai,19.0681,72.8176,7.16,0.009,0.026,0.006,0.05,0.001,0.06,0.11,0.21,0.08
S170,Sangli,16.8587,74.5668,7.2,0.01,0.029,0.006,0.047,0.004,0.33,0.08,0.14,0.02
S171,Nashik,19.9767,73.7775,6.87,0.017,0.02,0.007,0.036,0.002,0.27,0.1,0.17,0.04
S172,Nashik,19.9778,73.7807,6.66,0.011,0.023,0.007,0.039,0.002,0.37,0.1,0.16,0.06
S173,Satara,17.6885,74.0008,6.5,0.015,0.036,0.007,0.046,0.003,0.31,0.11,0.12,0.05
S174,Sangli,16.8709,74.6176,6.97,0.013,0.026,0.006,0.022,0.0,0.26,0.06,0.12,0.06
S175,Nashik,19.9839,73.8334,7.08,0.018,0.03,0.003,0.046,0.002,0.35,0.07,0.08,0.08
S176,Aurangabad,19.8875,75.3162,6.78,0.023,0.018,0.008,0.027,0.003,0.27,0.12,0.12,0.06
S177,Sangli,16.8536,74.5514,7.19,0.013,0.024,0.003,0.01,0.002,0.49,0.12,0.14,0.05
S178,Ahmednagar,19.0959,74.766,6.7,0.023,0.031,0.006,0.04,0.002,0.35,0.12,0.13,0.05
S179,Solapur,17.663,75.9529,6.69,0.007,0.027,0.005,0.038,0.002,0.28,0.14,0.08,0.04
S180,Nagpur,21.1427,79.0389,6.96,0.026,0.026,0.005,0.023,0.002,0.27,0.09,0.19,0.07
S181,Sangli,16.8191,74.5889,7.12,0.023,0.037,0.003,0.028,0.001,0.28,0.11,0.18,0.06
S182,Nagpur,21.1362,79.0928,6.79,0.029,0.015,0.005,0.056,0.002,0.28,0.09,0.13,0.09
S183,Aurangabad,19.8098,75.3893,6.64,0.014,0.023,0.006,0.02,0.002,0.46,0.06,0.15,0.05
S184,Solapur,17.6727,75.907,6.84,0.019,0.039,0.005,0.043,0.001,0.22,0.11,0.2,0.07
S185,Kolhapur,16.6956,74.2433,6.69,0.02,0.032,0.004,0.031,0.002,0.27,0.1,0.22,0.06
S186,Satara,17.6697,73.9989,7.19,0.015,0.021,0.008,0.05,0.002,0.15,0.13,0.11,0.08
S187,Sangli,16.7933,74.6083,6.7,0.02,0.026,0.003,0.032,0.003,0.31,0.12,0.22,0.03
S188,Satara,17.729,74.0214,6.78,0.008,0.025,0.007,0.035,0.003,0.18,0.1,0.09,0.07
S189,Mumbai,19.1026,72.8651,6.5,0.017,0.029,0.006,0.048,0.001,0.35,0.14,0.07,0.07
S190,Nagpur,21.1307,79.0858,7.09,0.013,0.021,0.005,0.025,0.001,0.35,0.07,0.17,0.07
S191,Nagpur,21.094,79.0679,7.3,0.01,0.023,0.006,0.044,0.002,0.25,0.14,0.21,0.08
S192,Mumbai,19.0786,72.8535,6.79,0.019,0.029,0.008,0.043,0.001,0.38,0.07,0.12,0.07
S193,Kolhapur,16.7649,74.3366,7.15,0.015,0.03,0.007,0.033,0.003,0.32,0.11,0.17,0.07
S194,Pune,18.5456,73.8382,6.86,0.009,0.029,0.007,0.041,0.003,0.3,0.12,0.1,0.05
S195,Ahmednagar,19.1161,74.7751,6.93,0.016,0.015,0.004,0.045,0.002,0.34,0.1,0.14,0.05
S196,Sangli,16.8734,74.5941,7.12,0.013,0.011,0.007,0.031,0.001,0.36,0.09,0.18,0.07
S197,Nagpur,21.1663,79.0472,7.3,0.018,0.023,0.005,0.018,0.002,0.22,0.06,0.08,0.08
S198,Ahmednagar,19.0763,74.7956,6.87,0.006,0.018,0.007,0.034,0.002,0.31,0.12,0.18,0.09
S199,Nagpur,21.135,79.0484,6.9,0.018,0.019,0.003,0.039,0.002,0.3,0.08,0.13,0.04
S200,Pune,18.5471,73.8878,6.54,0.01,0.016,0.004,0.035,0.001,0.23,0.07,0.15,0.06
S201,Mumbai,19.0543,72.883,6.86,0.014,0.038,0.008,0.023,0.003,0.36,0.07,0.17,0.09
S202,Pune,18.4867,73.8292,7.25,0.018,0.03,0.006,0.04,0.001,0.38,0.14,0.13,0.06
S203,Nagpur,21.0999,79.1036,7.14,0.016,0.034,0.004,0.042,0.001,0.3,0.09,0.15,0.05
S204,Mumbai,19.0721,72.9025,6.89,0.006,0.038,0.008,0.023,0.003,0.26,0.11,0.15,0.06
S205,Pune,18.4969,73.836,6.77,0.011,0.026,0.004,0.043,0.003,0.25,0.11,0.16,0.07
S206,Kolhapur,16.7073,74.2656,7.12,0.009,0.032,0.007,0.028,0.002,0.35,0.09,0.18,0.11
S207,Mumbai,19.0524,72.8363,7.08,0.02,0.024,0.008,0.023,0.003,0.25,0.15,0.22,0.04
S208,Sangli,16.8359,74.6073,6.9,0.016,0.026,0.001,0.036,0.001,0.26,0.14,0.09,0.08
S209,Nagpur,21.1374,79.0798,7.2,0.018,0.03,0.007,0.033,0.002,0.21,0.08,0.26,0.08
S210,Aurangabad,19.8357,75.3036,7.12,0.019,0.03,0.004,0.035,0.002,0.31,0.03,0.13,0.04
S211,Satara,17.6858,74.1079,7.09,0.014,0.032,0.006,0.04,0.002,0.46,0.07,0.16,0.04
S212,Nagpur,21.1625,79.0606,6.9,0.014,0.033,0.007,0.024,0.002,0.24,0.06,0.13,0.05
S213,Sangli,16.9252,74.5945,6.66,0.013,0.033,0.009,0.02,0.0,0.45,0.11,0.11,0.07
S214,Nashik,19.9184,73.7899,7.08,0.022,0.019,0.005,0.027,0.002,0.23,0.09,0.1,0.07
S215,Ahmednagar,19.121,74.7426,7.01,0.007,0.024,0.005,0.062,0.001,0.42,0.13,0.15,0.1
S216,Ahmednagar,19.1064,74.7613,6.99,0.023,0.034,0.004,0.023,0.002,0.24,0.1,0.19,0.05
S217,Satara,17.6792,74.02,7.21,0.003,0.022,0.005,0.048,0.002,0.15,0.12,0.11,0.04
S218,Nagpur,21.1271,79.0827,6.85,0.003,0.032,0.008,0.043,0.001,0.28,0.1,0.16,0.07
S219,Satara,17.6585,74.0208,7.11,0.025,0.031,0.007,0.037,0.003,0.33,0.07,0.2,0.07
S220,Solapur,17.6466,75.892,7.07,0.019,0.027,0.006,0.053,0.003,0.32,0.13,0.1,0.07
S221,Nagpur,21.2001,79.0817,6.79,0.012,0.018,0.003,0.032,0.001,0.3,0.13,0.1,0.09
S222,Mumbai,19.0913,72.9086,6.84,0.021,0.018,0.007,0.038,0.002,0.21,0.07,0.16,0.04
S223,Mumbai,19.0899,72.8367,7.21,0.009,0.03,0.006,0.029,0.002,0.32,0.08,0.1,0.02
S224,Solapur,17.6704,75.8595,7.02,0.014,0.031,0.004,0.033,0.003,0.33,0.11,0.16,0.03
S225,Kolhapur,16.7277,74.2617,6.75,0.015,0.026,0.005,0.039,0.003,0.39,0.06,0.16,0.09
S226,Solapur,17.6715,75.9391,7.5,0.022,0.028,0.007,0.037,0.002,0.27,0.15,0.11,0.09
S227,Solapur,17.6749,75.8644,7.09,0.003,0.03,0.007,0.03,0.002,0.46,0.08,0.1,0.09
S228,Satara,17.7394,74.0184,7.25,0.024,0.021,0.004,0.048,0.003,0.35,0.07,0.22,0.05
S229,Pune,18.5103,73.867,7.39,0.021,0.029,0.006,0.036,0.002,0.1,0.09,0.15,0.04
S230,Mumbai,19.0876,72.8716,7.44,0.025,0.023,0.005,0.035,0.002,0.32,0.08,0.09,0.07
S231,Pune,18.5393,73.8326,7.22,0.012,0.028,0.007,0.036,0.002,0.26,0.09,0.13,0.05
S232,Solapur,17.6546,75.8599,6.88,0.014,0.024,0.005,0.035,0.002,0.37,0.08,0.09,0.04
S233,Kolhapur,16.6904,74.2327,6.81,0.008,0.023,0.005,0.042,0.002,0.27,0.07,0.14,0.04
S234,Mumbai,19.0932,72.8241,6.91,0.018,0.027,0.01,0.039,0.001,0.29,0.05,0.14,0.04
S235,Nagpur,21.1733,79.0717,6.97,0.012,0.038,0.004,0.054,0.003,0.34,0.11,0.16,0.02
S236,Nagpur,21.1374,79.1136,6.99,0.008,0.026,0.008,0.048,0.002,0.38,0.09,0.07,0.04
S237,Nagpur,21.1927,79.08,6.94,0.014,0.039,0.008,0.058,0.002,0.32,0.05,0.2,0.04
