Timestamp,Location,pH,Dissolved_Oxygen_mg_L,Turbidity_NTU,Conductivity_uS_cm,Arsenic_mg_L,Lead_mg_L,Cadmium_mg_L,Chromium_mg_L,Mercury_mg_L,Latitude,Longitude
1/2/2024 9:00,Location_34,8.37,9.83,9.93,427.17,0.0055,0.0448,0.0054,0.0122,0.0025,18.501234,73.854263
1/2/2024 10:00,Location_35,8.41,7.65,1.98,994.88,0.0397,0.033,0.0088,0.0287,0.0045,18.723832,73.729351
1/2/2024 11:00,Location_36,8.02,6.1,9.89,429.96,0.0049,0.0172,0.0054,0.0384,0.0033,18.78013,74.025092
1/2/2024 12:00,Location_37,6.76,4.68,9.78,1099.12,0.0136,0.0447,0.0024,0.0144,0.0023,18.586096,73.931852
1/2/2024 13:00,Location_38,6.24,4.91,8.04,1323.15,0.0428,0.0146,0.0085,0.0205,0.0049,18.680427,73.794305
1/2/2024 14:00,Location_39,7.71,5.35,6.76,277.52,0.0173,0.0281,0.0056,0.0262,0.0035,18.69481,74.057872
1/2/2024 15:00,Location_40,7.1,5.51,5.99,1313.23,0.0487,0.005,0.0021,0.0067,0.0023,18.664899,73.718103
1/2/2024 16:00,Location_41,6.31,9.1,8.73,931.01,0.049,0.0461,0.0062,0.0013,0.0007,18.618846,73.780728
1/2/2024 17:00,Location_42,7.24,7.37,3.25,277.95,0.0134,0.007,0.0036,0.0076,0.0054,18.752659,74.000819
1/2/2024 18:00,Location_43,6.09,7.14,4.94,698.56,0.002,0.0112,0.0084,0.0313,0.0002,18.579571,73.983751
1/2/2024 19:00,Location_44,8.27,4.69,6.38,325.2,0.0353,0.0279,0.0045,0.0037,0.0052,18.424441,73.815709
1/2/2024 20:00,Location_45,6.65,9.16,4.41,1080.49,0.0225,0.0382,0.0073,0.0095,0.0022,18.737823,73.72481
1/2/2024 21:00,Location_46,7.66,8.34,4.56,1162.42,0.005,0.031,0.001,0.0169,0.0038,18.669593,74.043231
1/2/2024 22:00,Location_47,6.78,4.41,3.64,248.12,0.0354,0.0116,0.004,0.0039,0.0055,18.739703,73.825479
1/2/2024 23:00,Location_48,7.3,8.25,5.86,808.6,0.0016,0,0.0098,0.0096,0.0009,18.455419,73.778285
1/3/2024 0:00,Location_49,7.37,7.26,8.58,1240.48,0.0435,0.0379,0.0081,0.0456,0.0034,18.412301,73.906425
1/3/2024 1:00,Location_50,6.46,4.49,2.41,1410.63,0.0069,0.0493,0.0016,0.001,0.0046,18.77375,74.064091
1/3/2024 2:00,Location_1,8.42,6.75,9.38,818.93,0.0064,0.0405,0.0028,0.0327,0.0045,18.459091,73.717419
1/3/2024 3:00,Location_2,7.94,6.91,7.05,1430.39,0.0088,0.023,0.0033,0.0192,0.0032,18.723861,74.006322
1/3/2024 4:00,Location_3,8.35,4.99,8.32,849.96,0.048,0.0452,0.0065,0.0336,0.0037,18.729284,73.928989
1/3/2024 5:00,Location_4,8.24,9.67,5.78,651.87,0.0347,0.0205,0.0076,0.0294,0.0045,18.683482,73.87018
1/3/2024 6:00,Location_5,7.49,9.1,7.91,1287.48,0.0401,0.0262,0.0075,0.0112,0.005,18.452505,73.997632
1/3/2024 7:00,Location_6,8.3,8.01,0.65,790.18,0.0199,0.0239,0.0051,0.0424,0.0046,18.666959,74.08633
1/3/2024 8:00,Location_7,6.22,6.77,8.27,760.66,0.0168,0.0224,0.0081,0.0246,0.0021,18.755635,73.791682
1/3/2024 9:00,Location_8,6.49,6.47,0.88,786.44,0.0117,0.0388,0.0044,0.0411,0.006,18.570213,73.757459
1/3/2024 10:00,Location_9,6.11,7.91,8.95,1285.5,0.024,0.0263,0.0012,0.0203,0.0026,18.565407,74.065153
1/3/2024 11:00,Location_10,6.81,7.27,9.92,1264.72,0.0276,0.0158,0.0056,0.0492,0.0001,18.577143,73.967581
1/3/2024 12:00,Location_11,6.97,4.37,3.29,664.93,0.0316,0.0129,0.0095,0.0385,0.0022,18.432909,73.875194
1/3/2024 13:00,Location_12,6.68,7.08,2.5,566.62,0.0129,0.0019,0.0079,0.0483,0.0008,18.75681,73.929304
1/3/2024 14:00,Location_13,8.07,8.84,7.77,788.7,0.0474,0.0292,0.0058,0.0257,0.0007,18.747673,73.998246
1/3/2024 15:00,Location_14,6.89,6.76,2.9,901.88,0.0085,0.0115,0.0065,0.0237,0.0017,18.799164,74.009213
1/3/2024 16:00,Location_15,6.7,4.31,8.72,433.67,0.0483,0.0074,0.0093,0.0378,0.0003,18.634073,74.067958
1/3/2024 17:00,Location_16,7.36,8.72,1.48,1211.54,0.0007,0.0327,0.0043,0.044,0.0041,18.700477,73.870737
1/3/2024 18:00,Location_17,6.35,5.21,1.7,781.08,0.0241,0.0341,0.0033,0.0482,0.0004,18.481069,73.817364
1/3/2024 19:00,Location_18,8.01,5.55,9.8,567.66,0.0167,0.0376,0.0098,0.0162,0.0012,18.667012,73.955866
1/3/2024 20:00,Location_19,6.19,4.99,6.9,249.55,0.0225,0.0252,0.0086,0.0399,0.0006,18.659893,73.866291
1/3/2024 21:00,Location_20,8.47,5.98,8.55,434.38,0.0285,0.0447,0.0032,0.0105,0.0004,18.760483,73.937839
1/3/2024 22:00,Location_21,7.93,8.54,3.58,1428.99,0.0218,0.0468,0.0046,0.0273,0.0016,18.732317,73.867994
1/3/2024 23:00,Location_22,6.5,7.12,6.93,527.14,0.0207,0.0404,0.0042,0.009,0.0034,18.775387,73.761198
1/4/2024 0:00,Location_23,6.01,5.23,6.15,336.4,0.0366,0.0318,0.0015,0.0174,0.0058,18.747533,73.887771
1/4/2024 1:00,Location_24,8.04,9.27,6.23,744.94,0.0343,0.0152,0.0096,0.0466,0.0053,18.747478,73.976367
1/4/2024 2:00,Location_25,7.77,9.28,6.98,529.92,0.0417,0.0491,0.004,0.0073,0.0053,18.425489,74.019714
1/4/2024 3:00,Location_26,7.82,9.22,5.97,149.22,0.0125,0.0137,0.0088,0.0316,0.0011,18.738385,73.897331
1/4/2024 4:00,Location_27,7.93,5.43,4.58,552.4,0.0305,0.0101,0.0019,0.0296,0.0016,18.642991,73.766095
1/4/2024 5:00,Location_28,6.19,6.71,3.12,861.75,0.0293,0.0221,0.0055,0.006,0.0005,18.552178,73.865875
1/4/2024 6:00,Location_29,6.9,9.91,7.8,872.4,0.0185,0.0028,0.0002,0.0163,0.0047,18.422606,74.014518
1/4/2024 7:00,Location_30,6.29,8.63,2.65,599.18,0.0243,0.0489,0.0076,0.0281,0.0004,18.67107,73.865144
1/4/2024 8:00,Location_31,8.16,4.16,7.08,726.22,0.0157,0.0294,0.0058,0.0094,0.0033,18.531281,73.978612
1/4/2024 9:00,Location_32,7.56,4.39,2.72,1451.73,0.0071,0.0278,0.0063,0.04,0.0015,18.587111,73.902885
1/4/2024 10:00,Location_33,6.83,6.78,6.44,628.29,0.0107,0.0328,0.0005,0.0486,0.0015,18.672691,73.796489
1/4/2024 11:00,Location_34,6.16,9.46,7.6,461.52,0.0053,0.0249,0.0021,0.0107,0.0059,18.76471,74.01846
1/4/2024 12:00,Location_35,6.78,7.23,2.58,440.85,0.0342,0.0016,0.0007,0.0093,0.0045,18.730175,73.733685
1/4/2024 13:00,Location_36,6.81,6.99,1.07,740.87,0.033,0.0306,0.0029,0.0227,0.005,18.580239,73.909956
1/4/2024 14:00,Location_37,7.82,4.63,1.74,1163.33,0.0475,0.0358,0.0063,0.0374,0.0034,18.555113,73.783556
1/4/2024 15:00,Location_38,7.59,7.94,6.26,388.38,0.0365,0.0208,0.0057,0.0141,0.0052,18.495912,73.726826
1/4/2024 16:00,Location_39,8.22,8.93,8.57,1093.01,0.0026,0.0379,0.0061,0.001,0.0039,18.548971,73.901174
1/4/2024 17:00,Location_40,7.18,6.28,0.93,129.61,0.0442,0.0114,0.0055,0.0271,0.0057,18.444419,73.899825
1/4/2024 18:00,Location_41,6.3,8.65,7.47,686.51,0.0431,0.0111,0.0027,0.0478,0.0017,18.788442,73.98276
1/4/2024 19:00,Location_42,7.78,9.79,3.74,1186.21,0.0222,0.0081,0.0024,0.0196,0.0036,18.629567,73.9979
1/4/2024 20:00,Location_43,7.9,5.22,5.05,574.23,0.0293,0.0186,0.0014,0.021,0.0041,18.451122,73.991117
1/4/2024 21:00,Location_44,7.4,7.14,9.32,889.23,0.0488,0.0424,0.0085,0.0484,0.0024,18.541122,73.863823
1/4/2024 22:00,Location_45,7.93,5.72,3.65,386.97,0.0266,0.0414,0.0062,0.0347,0.0053,18.618816,73.952676
1/4/2024 23:00,Location_46,7.23,8.76,4.92,1138.79,0.0453,0.0191,0.0019,0.036,0.0059,18.613154,73.930778
1/5/2024 0:00,Location_47,7.31,7.47,0.63,173.19,0.0042,0.0295,0.0018,0.0281,0.003,18.414201,73.868625
1/5/2024 1:00,Location_48,7.07,7.81,1.28,1293.56,0.0096,0.036,0.0087,0.0487,0.0023,18.780336,73.938885
1/5/2024 2:00,Location_49,6.06,8.79,2.96,377.47,0.022,0.0121,0.0074,0.0344,0.0028,18.51015,74.078899
1/5/2024 3:00,Location_50,6.27,6.38,0.76,1324.16,0.0292,0.0084,0.0066,0.0448,0.0051,18.406474,73.777157
1/5/2024 4:00,Location_1,6.08,9.49,6.5,593.54,0.0408,0.0486,0.0041,0.035,0.0039,18.430578,74.062309
1/5/2024 5:00,Location_2,7.59,7.2,4.55,1111.76,0.0494,0.0309,0.0026,0.0368,0.0003,18.632078,73.721382
1/5/2024 6:00,Location_3,6.79,4.95,5.71,546.92,0.0194,0.0491,0.0098,0.0145,0.0033,18.455114,73.823356
1/5/2024 7:00,Location_4,7.27,8.18,2.16,1368.28,0.0024,0.0169,0.008,0.0152,0.0001,18.41669,73.815258
1/5/2024 8:00,Location_5,8.27,8.76,3.31,277.29,0.0401,0.0352,0.003,0.0391,0.0047,18.551851,73.950546
1/5/2024 9:00,Location_6,6.62,5.9,6.81,349.93,0.0302,0.0111,0.0085,0.0148,0.002,18.649104,73.75249
1/5/2024 10:00,Location_7,7.03,9.14,9.67,790.24,0.0099,0.0131,0.0076,0.0281,0.0028,18.444736,74.052939
1/5/2024 11:00,Location_8,7.89,9.44,0.98,214.71,0.0247,0.0256,0.003,0.0125,0.0048,18.525331,74.031421
1/5/2024 12:00,Location_9,6.57,5.66,8.96,374.37,0.0371,0.016,0.0043,0.0408,0.0003,18.567104,73.960826
1/5/2024 13:00,Location_10,6.19,9.9,5.98,1421.27,0.0385,0.0084,0.0019,0.0055,0.001,18.463784,73.883366
1/5/2024 14:00,Location_11,6.72,4.84,5.86,1467.09,0.025,0.0131,0.0011,0.0415,0.0024,18.60243,74.073182
1/5/2024 15:00,Location_12,6.4,5.21,5.25,626.76,0.0153,0.0018,0.0072,0.0301,0.0014,18.434086,74.032299
1/5/2024 16:00,Location_13,8.32,5.11,1.16,1392.6,0.0487,0.0352,0.0027,0.0093,0.002,18.418607,73.899726
1/5/2024 17:00,Location_14,8.02,9.36,1.35,862.75,0.0332,0.0246,0.0082,0.0271,0.006,18.607934,73.980749
1/5/2024 18:00,Location_15,7.58,7.93,6.21,477.64,0.0204,0.0047,0.01,0.0141,0.005,18.499159,73.926772
1/5/2024 19:00,Location_16,8.18,4.91,3.74,1083.36,0.014,0.0086,0.0008,0.0162,0.0053,18.43815,73.935177
1/5/2024 20:00,Location_17,8.01,6.64,9.21,1022.46,0.0366,0.0051,0.0047,0.0176,0.0056,18.569565,73.83239
1/5/2024 21:00,Location_18,6.47,7.69,4.36,1484.78,0.0121,0.0306,0.008,0.0032,0.002,18.766056,73.884834
1/5/2024 22:00,Location_19,8.23,4.5,1.86,471.07,0.0086,0.0047,0.0079,0.0493,0.0018,18.689677,73.731249
1/5/2024 23:00,Location_20,7.35,9.29,7.29,1040.88,0.0265,0.0377,0.0076,0.0016,0.0014,18.726246,73.842939
1/6/2024 0:00,Location_21,8.02,8.82,3.29,172.83,0.0145,0.001,0.0035,0.0331,0.005,18.748766,73.978331
1/6/2024 1:00,Location_22,8.24,7.03,5.49,259.1,0.0314,0.0125,0.0045,0.0186,0.0041,18.789051,74.081286
1/6/2024 2:00,Location_23,6.8,9.8,7.13,105.49,0.0059,0.0445,0.0059,0.0323,0.0014,18.705299,74.085226
1/6/2024 3:00,Location_24,6.28,6.51,9.05,1499.24,0.0327,0.0359,0.0097,0.0178,0.0023,18.643363,73.922289
1/6/2024 4:00,Location_25,6.57,9.9,8.03,1223.18,0.0142,0.0036,0.0033,0.0337,0.003,18.54617,73.942649
1/6/2024 5:00,Location_26,7.07,8.01,6.93,1201.41,0,0.0411,0.0092,0.0365,0.0032,18.472657,73.774288
1/6/2024 6:00,Location_27,8.05,7.81,6.96,813.62,0.0063,0.0247,0.0027,0.0345,0.0053,18.674664,73.978123
1/6/2024 7:00,Location_28,8.15,5,9.49,520.09,0.0467,0.0423,0.0099,0.0057,0.0023,18.79798,73.728264
1/6/2024 8:00,Location_29,6.02,9.29,3.31,311.77,0.0434,0.03,0.0067,0.0328,0.0055,18.586943,73.813874
1/6/2024 9:00,Location_30,7.28,6.56,0.51,498.54,0.0117,0.0341,0.0046,0.014,0.0026,18.689472,73.967345
1/6/2024 10:00,Location_31,7.04,4.97,3.08,626.36,0.0389,0.0497,0.0061,0.0014,0.0045,18.598037,73.824124
1/6/2024 11:00,Location_32,6.56,4.08,2.57,1158.83,0.0304,0.0116,0.0027,0.0207,0.0056,18.572773,73.719939
1/6/2024 12:00,Location_33,6.3,7.36,6.79,855.53,0.0485,0.0312,0.0027,0.0217,0.0054,18.564122,74.032748
1/6/2024 13:00,Location_34,6.84,7.16,6.52,208.48,0.0187,0.023,0.0011,0.0234,0.0003,18.60185,73.824132
1/6/2024 14:00,Location_35,8.36,8.32,6.14,125.24,0.0341,0.002,0.0011,0.0352,0.0012,18.546758,73.725242
1/6/2024 15:00,Location_36,6.81,9.34,0.65,243.27,0.0032,0.0007,0.0035,0.0154,0.0029,18.699509,73.729915
1/6/2024 16:00,Location_37,7.3,4.48,7.42,674.7,0.0198,0.006,0.0076,0.0158,0.0026,18.749709,73.800704
1/6/2024 17:00,Location_38,7.76,8.39,3.57,1406.47,0.0482,0.0325,0.0061,0.003,0.0038,18.753154,73.771206
1/6/2024 18:00,Location_39,6.91,5.12,6.82,992.36,0.0269,0.0284,0.001,0.0343,0.0057,18.491079,74.00972
1/6/2024 19:00,Location_40,8.43,9.15,5.79,1222.56,0.0144,0.0277,0.0085,0.0284,0.0007,18.758364,73.828674
1/6/2024 20:00,Location_41,8.41,8.91,3.76,752.92,0.006,0.0016,0.006,0.0175,0.0027,18.53662,74.021878
1/6/2024 21:00,Location_42,6.63,7.24,1.78,606.33,0.0352,0.0235,0.0096,0.0353,0.0012,18.523723,73.769538
1/6/2024 22:00,Location_43,7.24,8.26,1.4,251.76,0.0322,0.0462,0.0067,0.0269,0.0054,18.690702,73.897152
1/6/2024 23:00,Location_44,6.75,5.89,8.4,1326.31,0.0187,0.0199,0.0018,0.0235,0.0058,18.521879,73.975215
1/7/2024 0:00,Location_45,6.71,6.83,9.22,1196.42,0.0475,0.0312,0.0047,0.0256,0.0029,18.421187,73.960796
1/7/2024 1:00,Location_46,6.09,8.93,6.67,335.37,0.0011,0.039,0.0065,0.0318,0.0006,18.549447,73.940452
1/7/2024 2:00,Location_47,7.52,6.76,1.48,817.16,0.0152,0.0392,0.0003,0.033,0.0047,18.688586,74.069929
1/7/2024 3:00,Location_48,7.26,6.15,4.32,782.32,0.0461,0.026,0.0001,0.0144,0.0042,18.530783,73.79141
1/7/2024 4:00,Location_49,6.13,6.97,7.42,975.13,0.016,0.0429,0.0013,0.007,0.0021,18.651824,73.897488
1/7/2024 5:00,Location_50,6.7,8.97,7.91,1424.66,0.0126,0.0196,0.0025,0.0078,0.0053,18.664048,74.053597
1/7/2024 6:00,Location_1,8.27,6.01,1.62,911.68,0.0267,0.0444,0.0043,0.032,0.0059,18.693494,73.731158
1/7/2024 7:00,Location_2,6.6,5.04,0.5,856.3,0.0412,0.012,0.0049,0.0436,0.0033,18.758852,73.722355
1/7/2024 8:00,Location_3,6.36,8.27,7.27,170.45,0.0052,0.014,0.0014,0.0205,0.0034,18.573026,73.793321
1/7/2024 9:00,Location_4,7.22,8.96,3.89,188.07,0.0472,0.0027,0.0067,0.0085,0.0018,18.466573,73.953208
1/7/2024 10:00,Location_5,8.46,4.6,2.92,362.29,0.0398,0.0398,0.006,0.0378,0.0035,18.52757,73.803952
1/7/2024 11:00,Location_6,6.61,5.44,0.62,145.46,0.0091,0.0209,0.0029,0.0416,0.0026,18.572867,73.776096
1/7/2024 12:00,Location_7,7.68,4.85,5.63,1140.69,0.0356,0.0115,0.0001,0.044,0.0018,18.685557,73.883521
1/7/2024 13:00,Location_8,7.9,6.09,8.59,1112.66,0.0192,0.0116,0.0008,0.0303,0.0004,18.405249,73.945439
1/7/2024 14:00,Location_9,6.59,6.7,9.6,290.48,0.0201,0.0451,0.0039,0.043,0.0015,18.526314,73.799423
1/7/2024 15:00,Location_10,7.82,8.49,5.87,1270.51,0.0392,0.0417,0.0015,0.0008,0.0012,18.711937,73.820276
1/7/2024 16:00,Location_11,6.92,7.91,5.39,316.7,0.0481,0.0277,0.0038,0.0054,0.0033,18.668343,73.945424
1/7/2024 17:00,Location_12,7.58,7.73,1.31,521.65,0.0063,0.0308,0.0063,0.0046,0.0036,18.692696,74.078295
1/7/2024 18:00,Location_13,7.58,6.11,5.71,448.57,0.021,0.0237,0.0055,0.0356,0.0037,18.724724,73.969897
1/7/2024 19:00,Location_14,7.34,9.05,4.11,621.23,0.024,0.0196,0.0023,0.0035,0.0023,18.713294,74.013162
1/7/2024 20:00,Location_15,6.23,6.83,6.27,456.53,0.0188,0.0458,0.0034,0.0248,0.0025,18.672873,73.846724
1/7/2024 21:00,Location_16,8.09,9.87,4.19,784.53,0.0182,0.0063,0.0061,0.0236,0.005,18.575865,73.808902
1/7/2024 22:00,Location_17,6.8,7.8,2.78,670.37,0.0026,0.0209,0.0086,0.0155,0.0029,18.793439,73.881707
1/7/2024 23:00,Location_18,6.47,4.76,1.4,1481.2,0.0343,0.0172,0.0075,0.0435,0.0059,18.627629,74.022853
1/8/2024 0:00,Location_19,6.1,8.06,3.49,178.3,0.0218,0.0249,0.0055,0.0085,0.0026,18.481108,73.88252
1/8/2024 1:00,Location_20,7.48,5.95,1.42,299.05,0.0097,0.0229,0.0036,0.0176,0.0039,18.517125,74.03869
1/8/2024 2:00,Location_21,7.69,8.12,2.18,173.96,0.0408,0.0259,0.0037,0.0387,0.0003,18.677425,74.095509
1/8/2024 3:00,Location_22,6.04,4.42,9.88,976.18,0.0401,0.007,0.0088,0.0015,0.0039,18.769896,73.728811
1/8/2024 4:00,Location_23,7.28,5.05,4.72,176.31,0.0243,0.0257,0.0004,0.0336,0.0051,18.471488,73.718164
1/8/2024 5:00,Location_24,6.57,9.13,5.55,1271.02,0.0149,0.0121,0.0099,0.0408,0.0057,18.432939,73.759836
1/8/2024 6:00,Location_25,7.61,5.36,8.8,816.71,0.0319,0.0092,0.0066,0.0466,0.006,18.752612,73.853748
1/8/2024 7:00,Location_26,6.44,9.02,9.96,837.81,0.0144,0.0032,0.0068,0.0438,0.0017,18.766111,73.752417
1/8/2024 8:00,Location_27,7.73,5.68,6.04,886.23,0.0118,0.0381,0.0004,0.016,0.0035,18.510552,74.048266
1/8/2024 9:00,Location_28,6.97,7.86,8.22,339.14,0.0365,0.0214,0.0061,0.0293,0.0027,18.550914,73.709259
1/8/2024 10:00,Location_29,8.34,8.16,3.61,376.77,0.002,0.0313,0.0048,0.0039,0.0034,18.664075,73.826317
1/8/2024 11:00,Location_30,6.34,7.08,3.4,546.34,0.0047,0.0364,0.0011,0.0129,0.0009,18.531972,73.773878
1/8/2024 12:00,Location_31,6.85,5.83,4.33,930.89,0.0003,0.034,0.0028,0.0047,0.0051,18.750863,74.072616
1/8/2024 13:00,Location_32,6.28,5.28,6.89,394.16,0.0076,0.0235,0.0089,0.0158,0.0055,18.443031,73.967792
1/8/2024 14:00,Location_33,8.31,4.2,6.98,262.86,0.0034,0.0194,0.0055,0.0438,0.0027,18.415193,74.064812
1/8/2024 15:00,Location_34,8.19,5.82,3.49,1458.16,0.0498,0.0188,0.0041,0.0174,0.0017,18.483394,74.088931
1/8/2024 16:00,Location_35,6.64,7.92,1.77,130.77,0.0144,0.032,0.0007,0.0281,0.0008,18.514435,73.898839
1/8/2024 17:00,Location_36,7.65,9.63,6.51,1223.78,0.0075,0.0247,0.0071,0.0217,0.0041,18.445171,73.793728
1/8/2024 18:00,Location_37,8.04,9.23,1.72,1203.25,0.012,0.0425,0.007,0.0229,0.0019,18.426276,73.777492
1/8/2024 19:00,Location_38,7.39,8.6,6,516.1,0.0468,0.0437,0.0061,0.0485,0.0055,18.702243,73.789168
1/8/2024 20:00,Location_39,7.32,8.73,7.09,289.88,0.026,0.0085,0.0051,0.0148,0.004,18.465711,73.983437
1/8/2024 21:00,Location_40,6.6,7.99,7.16,303.88,0.0182,0.0068,0.0043,0.0314,0.0039,18.765569,73.716178
1/8/2024 22:00,Location_41,6.23,5.56,7.66,1076.4,0.0437,0.0315,0.0059,0.021,0.0034,18.5472,73.720544
1/8/2024 23:00,Location_42,8.24,9.44,8.79,999.93,0.0197,0.0151,0.0023,0.0031,0.0003,18.668242,73.943257
1/9/2024 0:00,Location_43,8.25,8.02,5.25,1195.84,0.0168,0.0009,0.0094,0.0245,0.0056,18.490161,73.956823
1/9/2024 1:00,Location_44,7.58,7.36,7.44,1412.47,0.0104,0.0444,0.0059,0.0407,0.0038,18.496129,73.966105
1/9/2024 2:00,Location_45,6.85,4.67,6.38,1068.7,0.0189,0.0113,0.0031,0.0049,0.006,18.629884,73.848752
1/9/2024 3:00,Location_46,6.87,6.68,2.27,318.19,0.0158,0.0465,0.0045,0.0035,0.0032,18.624257,74.022378
1/9/2024 4:00,Location_47,7.81,6.76,0.74,440.82,0.0339,0.0359,0.0081,0.0077,0.0043,18.707492,73.91345
1/9/2024 5:00,Location_48,8.24,9.19,3.2,1279.07,0.0145,0.0381,0.0016,0.0382,0.0003,18.703125,73.742186
1/9/2024 6:00,Location_49,8.22,7.28,4.71,393.03,0.0289,0.0101,0.0029,0.0362,0.0038,18.668275,74.01884
1/9/2024 7:00,Location_50,7.95,6.28,6.36,201.53,0.0033,0.0117,0.0068,0.0283,0.0046,18.579652,74.081227
1/9/2024 8:00,Location_1,7.61,9.86,8.57,1084.59,0.0096,0.0261,0.0032,0.0234,0.0047,18.756256,73.724015
1/9/2024 9:00,Location_2,6.21,4.66,2.36,663.54,0.0204,0.0086,0.0079,0.0444,0.0046,18.649031,73.856541
1/9/2024 10:00,Location_3,6.4,6.54,1.69,1388.06,0.0468,0.0153,0.0013,0.0383,0.0014,18.796079,73.895006
1/9/2024 11:00,Location_4,8.25,4.25,9.65,1010.36,0.0189,0.0161,0.0076,0.0406,0.0059,18.727748,73.758588
1/9/2024 12:00,Location_5,7.52,8.44,1.53,226.59,0.0332,0.008,0.0007,0.0407,0.006,18.417724,74.047084
1/9/2024 13:00,Location_6,6.02,9.51,5.05,1427,0.0128,0.0103,0.0001,0.0321,0.0005,18.528238,73.81366
